,Ticker,Position
0,AAPL,0.0
1,MSFT,0.0
2,AMZN,0.0
3,GOOGL,0.0
4,META,0.0
5,NVDA,0.0
6,TSLA,0.0
7,BRK-B,0.0
8,JPM,131818.20195790002
9,JNJ,480198.0392552
10,V,0.0
11,PG,0.0
12,UNH,0.0
13,MA,0.0
14,HD,0.0
15,XOM,0.0
16,PFE,0.0
17,BAC,0.0
18,KO,0.0
19,DIS,0.0
20,NFLX,0.0
21,AVGO,0.0
22,CSCO,0.0
23,ADBE,0.0
24,TMO,0.0
25,NKE,0.0
26,WMT,0.0
27,INTC,0.0
28,PEP,0.0
29,ABBV,0.0
30,ABT,0.0
31,CRM,0.0
32,ACN,0.0
33,AMD,0.0
34,COST,0.0
35,LIN,0.0
36,MCD,0.0
37,CVX,0.0
38,VZ,0.0
39,T,0.0
40,QCOM,0.0
41,TXN,0.0
42,HON,0.0
43,IBM,0.02
44,ORCL,0.0
45,CAT,0.0
46,UPS,0.0
47,BA,0.0
48,GS,0.0
49,MS,0.0
